{alpha} Pav	SB*
TY CrA	Ae*
T CrA	Ae*
V2234 Sgr	Candidate_LP*
S106 IRS4	
PU Vul	Nova
BD-13 5550	post-AGB*
IRAS 19120+1103	HII
WR 147	WR*
Off-V778Cyg	C*
HD 200775	Ae*
IRAS 18292-1153	IR
{psi} Cap	Star
HR 7722	V*
NGC 7009	PN
GY Aql	semi-regV*
RU Phe	Mira
{pi}^1^ Gru	S*
Off-LOS1	
Nova Cyg 1992	Nova
S 125 -12.10, +2 6.5	
S 125	
S 125 +13.10, -2 7.5	
Off-NovaAql1995	
AFGL 2374	Maser
{lambda} Boo	PulsV*delSct
AFGL 2688	post-AGB*
WR 140	WR*
BC Cyg	semi-regV*
BD+40 4124	Ae*
IRAS 20126+4104	YSO
V1016 Cyg	Symbiotic*
WR 137	WR*
BD+30 3639	PN
UX Cyg	Mira
Hu 1-2	
M 3-60	HII
IRAS 00477-7343	multiple_object
{[GHJ82]} SMC N76B K2	
WR 135	Irregular_V*
HD 331319	post-AGB*
AA Cyg	S*
NGC 6720	PN
HD 235718	Star
IC 5117	PN
M 1-92	
S Scl	Mira
T Ind	semi-regV*
HR Del	Nova
HR 8714	S*
57 Peg	S*
NGC 6891	PN
T Cet	S*
HR 10	Star
W Cet	S*
AFGL 3068	C*
HR 7736	PulsV*delSct
BI Cyg	RedSG*
WR 136	WR*
Off-WR136	
BU And	Mira
IRC +40540	Mira
RY And	Mira
IRAS 19480+2504	post-AGB*
TW Cyg	Mira
NGC 7000 -1 42.60, +40 16.3	
NGC 7000	HII
CH Cyg	Symbiotic*
NGC 7000 +1 15.66, -39.4	
NGC 7000 +34.69, +59.4	
ER Cyg	Mira
IRAS 20050+2720 -6.82, +39.5	
HR 8832	Flare*
IRAS 23151+5912	HII
V582 Cas	semi-regV*
EP Aqr	semi-regV*
{tau} Boo	**
IRAS 21554+6204	V*?
IRAS 22036+5306	post-AGB*
CIT 3	Mira
{delta} Psc	PM*
HR 5072	PM*
IRAS 22574+6609	post-AGB*
IRAS 00127+5437	IR
U Dra	Mira
M 31	Galaxy
T Cas	Mira
S 184	
S 184 -14.13, -2 39.8	
S 184 +1 50.79, -22.8	
R And	S*
IRAS 20572+4919	post-AGB*
HR 9043	Star
IRAS 00210+6221	C*
CIT 11	RedSG*
DC244 C	
{alpha} Boo -0.04, -0.9	
V354 Cep	RedSG*
DC 240 B25	
U Lac	semi-regV*
IRAS 22568+6141	PN
R Peg	Mira
IRAS 21434+4936	IR
IRAS 22023+5249	post-AGB*
{alpha} Lac	Star
M 2-54	Em*
S Cas	S*
HR 365	semi-regV*
VY Cas	semi-regV*
IRAS 23196+1615	Star
Cas A -7.05, +1 40.3	
Cas A -4.03, +1 40.3	
Cas A -1.00, +1 40.3	
Cas A +7.08, -11.6	
Cas A +10.10, +18.5	
Cas A +10.11, -11.5	
ST Her	S*
R Cyg	S*
V460 Cyg	semi-regV*
Cas A +10.11, -41.5	
IRC +60370	RedSG*
W Cas	C*
{beta} And	PM*
HR 483	SB*
RW And	S*
WR 1	WR*
Off-WR1	
DO 40123	C*
VX Cas	Ae*
W 3 IRS 5	Cl*
HD 14580	RedSG*
RW Boo	semi-regV*
SV And	Mira
VX And	semi-regV*
IRAS 23262+6401	IR
WX Cas	RedSG*
FZ Per	semi-regV*
SU Per	semi-regV*
S Per	RedSG*
HD 123337	Star
IRAS 14559-6228	Star
WR 70	WR*
U Her	Mira
V633 Cas	Ae*
HV Cas	Mira
{gamma}^1^ And	SB*
CS 2178	
IRAS 15553-5230	post-AGB*
IC 4406	PN
{theta} Cen	
M 2-56	
Hb 12	
NGC 7662	PN
IRC -30023	Mira
AFGL 230 -0.6, -6.3	Mira
IRAS 00211+6549	YSO
IRAS 13517-6515	OH/IR
IRAS 21080+4758	IR
Off-IRAS02229+6208	
IRAS Z02229+6208	post-AGB*
HD 144432	Ae*
{alpha} Ari	V*
O Cet	Mira
{alpha} Boo -0.05, -1.1	
AU Her	Mira
AD Per	semi-regV*
HD 14404	RedSG*
RS Per	semi-regV*
NGC 6369	PN
WR 34	WR*
SS 293	post-AGB*
Off-HD139614	pMS*
WR 78	WR*
IRAS 16342-3814	post-AGB*
Nova Oph 1994	Nova
IRAS 15452-5459	post-AGB*
Wray 15-1654	Be*
V Nor	semi-regV*
IRAS 16350-4754	Star
IRAS 17010-3840	OH/IR
WL 5	TTau*
IRAS 18062+2410	Be*
XX Oph	**
Hen 3-1347	post-AGB*
C* 2429	C*
C* 2398	C*
GC SE_NTF_Xng	
Off-GC	
GC SSW	
IRAS 17516-2525	OH/IR
TY Dra	LPV*
RZ Ari	semi-regV*
MWC 270	PN
NGC 6537	PN
DO 16793	Candidate_LP*
MWC 288	PN
Cn 1-5	PN
V4046 Sgr	BYDra
Off-V4046Sgr	
AS 296	Symbiotic*
X Oph	Mira
CN 3-1	PN
S 128	ClG
YZ Per	semi-regV*
IRAS 17195-2710	post-AGB*
Nova Sgr 1996	Nova
M 8 E	
HH 399	HH
IRAS 18317-0757	YSO
EIC 722	IR
IRAS 19068+0544	C*
NGC 6781	PN
NGC 7023 -1.49, +0.0	BrNeb
AFGL 2256	C*
LDN 379 IRS 3	IR
PK 010-08 1	PN
V348 Sgr	post-AGB*
Off-V348 Sgr	
WL 16	TTau*
H 1-13	
Hen 3-1475	post-AGB*
NGC 6445	PN
Pe 2-8	
Sgr 1900+14	gammaBurst
Off-{lambda}Sco	
{lambda} Sco	PulsV*bCep
WR 110	WR*
SGR1806-20	Pulsar
HH 399 +0.00, +20.0	
HH 399 +0.00, -20.0	
Hb 5	
WR 86	WR*
RY Sgr	Erupt*RCrB
Off-RYSgr	
{sigma} Sgr	Star
Off-{sigma}Sgr	
GC SSE	
PK 039+02 1	PN
IRAS 19110+1045	Cl*
IRC +00365	Mira
IRAS 18032-2032	HII
IRAS 17591-2228	HII
V4334 Sgr	Nova-like
AX Sgr	semi-regV*
LOS2	
MWC 300	Ae*
RV Aqr	C*
IRC +00490	Mira
S Lyr	S*
DR21 +7.82, +11.5	SFregion
RT Pav	semi-regV*
U Tel	Mira
R CrA IRS 1	
R CrA IRS 2	
LOS1_T	
IRAS 19306+1407	post-AGB*
HD 189711	CH
IRAS 19195+1650	IR
IRAS 19584+2652	IR
V1965 Cyg	Mira
V1027 Cyg	LPV*
AFGL 2477	S*
Off-BD+354077	RedSG*
R Lyr	semi-regV*
IRC +40427	Em*
DR21 -1 6.17, -31.7	SFregion
IRAS 19386+0155	post-AGB*
RR Aql	Mira
DZ Aqr	LPV*
RX Vul	Mira
HD 213985	post-AGB*
R Cap	C*
NR Vul	RedSG*
SS Peg	Mira
CD Gru	Mira
{lambda} Gru	Star
V584 Aql	LPV*
RY Dra	semi-regV*
IC 1396N	ComGlob
Off-IC1396N	
RAFGL 5017	Mira
{gamma} Phe	SB*
TX Psc	C*
HR 48	Candidate_LP*
R For	C*
TT Cyg	semi-regV*
S Cep	Mira
{chi} Dra	SB*
Cas A -0.18, +4.3	SNR
Cas A +0.81, +1 35.4	SNR
WOH G 64	Mira
Cas A -1.20, +1 16.3	SNR
Cas A -8.93, -1 10.8	SNR
RW Cep	semi-regV*
EG And	Symbiotic*
Nova LMC 1995	Nova
R Dor	semi-regV*
Y UMa	semi-regV*
M 51 CCM10	
IRAS 13428-6232	post-AGB*
CPD-64 2939	post-AGB*
CD-53 4543	semi-regV*
SS73 38	Symbiotic*
Wray 16-125	PN
Hen 2-104	Symbiotic*
Hen 2-106	Symbiotic*
RR Pic	Nova
IRAS 01420+6401	IR
HD 14242	RedSG*
HD 14826	RedSG*
IRAS 03093+4313	IR
XX Per	semi-regV*
RR Per	Mira
IRAS 03201+5459	Star
BD+59 594	semi-regV*
IRAS 03313+6058	C*
LHA 120-N 160A IR	YSO
HD 141569	pMS*
{zeta} Oph	Be*
HD 143006	Ae*
IRAS 13416-6243	post-AGB*
DL Cha	semi-regV*
LHA 120-N 160A IR +2.39, -6.2	
30 Dor  +8.18, -7.4	Cl*
NGC 660	LINER
{alpha} Tau	
IRAS 03035+5819	Cl*
W Per	semi-regV*
U Cam	semi-regV*
AFGL 490	YSO
{alpha} Boo -0.39, +3.4	
{alpha} Boo +0.61, +2.0	
{alpha} Boo +0.21, +12.6	
{alpha} Boo +0.01, -7.2	
ROX 16	TTau*
Off-ROX16	
IRAS 16279-4757	post-AGB*
{epsilon} Aur	
IRAS 05221+4139	Galaxy
IRAS 05167+3858	IR
W 3 IRS 2	
HD 19557	C*
{tau} Sco	Star
Nova Sco 1997	Nova
Off-NGC6334	
NGC 6334V	Cl*
NGC 6334A	HII
{theta} Per	PM*
HR 877	semi-regV*
Off-VDB19	
VDB 19 +1.00, -15.0	
VDB 19 -1.20, +13.0	
VDB 19	**
{[SVS76]} NGC 1333 3	
{[SVS76]} NGC 1333 13	
NGC 2023	RfNeb
Off-NGC2023	
L1551 IRS 5	FUOr
LHA 115-N 88	HII
NGC 261	HII
{delta} Eri	RSCVn
HD 34700	TTau*
SBSG 0335-052	BlueCompG
DG Tau	Ae*
Elias 3-1	Ae*
GC G0.18_2	
T Tau	Ae*
AB Aur	Ae*
IRAS 04025+5313	Galaxy
HL Tau	Ae*
RAFGL 5081	IR
RV Tau	PulsV*RVTau
IRAS 01005+7910	post-AGB*
Orion Pk1	
AFGL 190	Mira
AFGL 618	post-AGB*
Orion IRc2	IR
{alpha} CMa	
{alpha} Ori	RedSG*
TX Cam	Mira
HD 35187	YSO
Orion Bar d8	HII
Orion Bar H2 1	HII
Orion Bar d2	HII
Orion Bar Brga	HII
Orion Bar d5	HII
IRAS 05341+0852	post-AGB*
RAFGL 5163	FUOr
BC Tau	LPV*
IRAS 05338-0624	HII
IC 443	SNR
HD 44179	post-AGB*
M 1-42	
M 2-36	
MWC 297	Ae*
OH 39.7+1.5	Mira
GGD 12	HH
IRAS 06582+1507	C*
IRAS 18469-0132	HII
HR 7023	semi-regV*
Mon R2 IRS 3	YSO
HD 45677	Be*
Mon R2 IRS 2	*inCl
AFGL 2199	Mira
NGC 2346	PN
NGC 2264 IR	
CD-33 14985	Star
HD 33793	BYDra
Z CMa	Ae*
HD 56126	semi-regV*
{beta} CMa	PulsV*bCep
WR 6	WR*
WR 124	WR*
NGC 2440	PN
HD 65750	LPV*
{alpha} Car	Star
BD+35 4077	RedSG*
IRAS 05544-6456	Star
VY CMa	RedSG*
FI Vul	LPV*
NGC 6765	PN
M 1-91	
AFGL 4259	AGB*
HR 7509	LPV*
IRAS 05346-6949	AGB*
OH 75.3-1.8	OH/IR
M 2-53	
NGC 7293	PN
NGC 7293 -28.70, -21.5	Seyfert_2
NGC 7023 +2.02, +43.9	
47 Tuc	GlCl
IRAS 05389-6922	Star
Cas A -7.44, +47.6	
Off-CasA	
Cas A -2.74, +1 42.6	
M 13	GlCl
OP Her	semi-regV*
AFGL 2699	semi-regV*
IRAS 22303+5950	C*
AFGL 3022	Mira
RX Lac	S*
AFGL 3099	Mira
CIT 1	Mira
AFGL 230	Mira
{rho} Per	semi-regV*
{alpha} Cet	
NGC 1386	Seyfert_1
AM Cep	Mira
AFGL 341	Mira
IRAS 02408+5458	Mira
CE And	LPV*
SV Psc	semi-regV*
V Ari	semi-regV*
IRC +50096	Mira
WX Cam	S*
RY Tau	TTau*
SN 1987 A	SN
Lo 14	
IRC +20326	Mira
IRAS 21270+5423	IR
M 1 +2.24, -57.6	SNR
M 1 -2.64, -15.2	SNR
M 1 -0.01, +2 12.6	SNR
M 1 +1.66, +0.5	
IRC -30316	OH/IR
FI Lyr	semi-regV*
IC 418	PN
HD 34282	EB*
{beta} Ori	BlueSG*
Orion Pk2	
IRAS 18123+0511	post-AGB*
MWC 480	Ae*
IC 443 -26.80, -27 20.3	
CZ Ser	LPV*
IRC +20370	Mira
{alpha} Aur	SB*
M 4-18	
RV Cam	semi-regV*
{iota} Aur	LPV*
Cep B	denseCore
IRAS 02383+6241	HII
GC Sgr C	
GC Pistol Star	HII
Cep A IRS 6A	
H Sco	V*
AFGL 2019	semi-regV*
3C 58	SNR
DO 12103	Ae*
HH111VLA-J	
{beta} Hyi	V*
IRAS 01045+6505	HII
TU Tau	semi-regV*
AFGL 2287	C*
BD+00 4054	Star
OH 32.0-0.5	Mira
OH 35.6-0.3	OH/IR
V1943 Sgr	LPV*
AFGL 2392	Mira
Lk H{alpha} 225	Ae*
Lk H{alpha} 224	Ae*
W Ori	semi-regV*
IRC +50137	Mira
IRAS 04579+4703	YSO
AFGL 437	Cl*
AFGL 4029	MolCld
SZ Sgr	semi-regV*
{alpha} Tuc	SB*
HR 1939	RedSG*
IRC -10122	Mira
IRC -10095	C*
OH 26.2-0.6	Mira
AFGL 940	C*
IRC +40149	Mira
OH 21.5+0.5	Mira
IRC +10374	Mira
Case 181	Mira
IRC +00102	Mira
FU Ori	Ae*
M 16	OpCl
Nova Sgr 1998	Nova
